S/N,HSC CODE,COO,Description,Year,CC,CIF (USD)
1,87091900,TH,A35 Folklift Model 4D27G,2020,2500,9404
2,87091900,TH,A35 Folklift Model 4D27G,2020,1760,8463
3,87091900,TH,A35 Folklift Model 4D27G,2021,2500,10221
4,87091900,TH,A35 Folklift Model 4D27G,2021,1760,9199
5,87163990,DE,Aaladin Single Axle Trailer Model ENT-IV,2015,1,1119
6,84272090,US,ABC Forklift Model CPC35,3.50,2013,40,14509
7,87163990,DE,Abel Drawbar Trailer 3 Axle,2007,26,10175
8,87032490,JP,Acura MDX,2009,3700,9116
9,87032490,JP,Acura MDX,2010,3700,9847
10,87032490,JP,Acura MDX,2011,3700,11120
11,87032490,JP,Acura MDX,2012,3700,12232
12,87163990,DE,Acura Venter Mini Trailer Model ABV11 Single Axle,1999,1,1505
13,87163990,DE,Adria Classica 743UK Caravan Trailer,2004,2,6537
14,84291900,BE,Aiglon High Crop Tractor 4WD Model 80,2008,85,36276
15,87032390,IT,Alfa Romeo 145 Saloon 3 door,2009,2000,6735
16,87032390,IT,Alfa Romeo 147 Saloon,2009,2000,6568
17,87032390,IT,Alfa Romeo Sportwagon 156 GF932A,2009,2000,7470
18,87032390,IT,Alfa Romeo Sportwagon 156 GF932A,2010,2000,7509
19,87012090,US,AM General M931 Tractor Head 6x6 Traction,1986,240,4446
20,87012090,US,AM General M931 Tractor Head 6x6 Traction,1987,240,4890
21,87012090,US,AM General M931 Tractor Head 6x6 Traction,1988,240,6068
22,87012090,US,AM General M931 Tractor Head 6x6 Traction,1989,240,6606
23,87012090,US,AM General M931 Tractor Head 6x6 Traction,1990,240,6978
24,87012090,US,AM General M931 Tractor Head 6x6 Traction,1991,240,7021
25,87012090,US,AM General M931 Tractor Head 6x6 Traction,1992,240,7212
26,87012090,US,AM General M931 Tractor Head 6x6 Traction,1993,240,7452
27,87012090,US,AM General M931 Tractor Head 6x6 Traction,1994,240,8013
28,87012090,US,AM General M931 Tractor Head 6x6 Traction, 1995,240,8387
29,87012090,US,AM General M931 Tractor Head 6x6 Traction,1996,240,8431
30,87012090,US,AM General M931 Tractor Head 6x6 Traction, 1997,240,8474
31,87012090,US,AM General M931 Tractor Head 6x6 Traction,1998,240,8518